island	area	elevation	isolation	endemic
Bahamas	14000	60	80	4
Hispaniola	76000	3090	550	21
PuertoRico	9000	1340	650	12
SanAndresIsland	52	100	200	1
CaymanIslands	262	40	500	1
Fernando	18	320	350	2
CapeVerde	4000	2800	500	4
Tristan	110	2160	2800	5
Gough	65	900	2800	2
Annobon	17	670	220	2
SaoTome	860	2020	160	16
Principe	140	900	130	6
SouthGeorgia	3500	2930	1700	1
StHelena	122	820	1900	1
Ascension	97	860	1500	1
Madeira+Canaries	8000	3700	90	10
Comoros	2200	2600	270	14
Aldabra	160	20	400	2
Seychelles	240	980	1000	12
Reunion	2500	3070	670	14
Mauritius	1900	830	870	16
Rodrigues	110	400	1500	10
Pemba	1000	100	50	4
Socotra	3500	1520	190	6
Andamans	8200	740	270	8
Nicobars	1800	610	200	4
ChristmasIs	140	360	200	2
Amsterdam	55	880	2500	1
Kerguelen+Crozet	7500	1960	2400	1
Enggano	450	300	100	2
nNusaTenggara	39000	3730	50	17
Sumba	11000	1200	360	6
BandaSeaIs	7100	850	120	18
Sangihe+Talaud	1700	1780	190	5
Banggai+Sula	7200	1650	470	8
Buru	8300	2430	460	10
Seram	19000	3030	140	13
nMalukus	27000	2110	240	26
Geelvinks	3000	1000	50	10
Salayar+Bonerate	1200	610	400	1
Marianas	1000	960	1800	10
Palau	460	220	870	10
Yap	120	180	1200	3
EastCarolines	580	790	2100	13
Admiraltys	2000	720	275	6
StMatthias	460	1000	550	2
Rennell+Bellona	850	100	975	5
Vanuatu+Temotu	13000	1800	1700	15
Samoa	3000	1850	3600	11
LordHowe	17	870	600	5
Norfolk	35	320	1300	5
NINZ	120000	2800	1800	3
SINZ	150000	3750	1500	5
Aucklands	619	660	1600	2
Chathams	970	290	2900	8
sCooks	190	650	4200	7
Rimatara	8	80	4400	4
Marquesas	1000	1230	5800	7
Societys	1400	2240	4400	12
Tuamotu	690	110	4800	4
Henderson	31	30	5400	4
Laysan	4	10	5000	1
cHawaiians	6300	3050	3700	19
Hawaii	10000	4200	3700	13
Clarion	28	330	700	1
JuanFernandez	180	1380	640	3
Ogasawaras	73	400	1000	4
NanseiShotos	4500	1930	50	8
Wake	7	6	3100	1
Nauru	21	70	2200	1
Rotuma	47	250	2700	1
Tonga	700	1030	3100	1
Antipodes	21	400	2400	1
Rapa	40	630	5500	1
Pitcairn	5	340	5600	1
Guadalupe	280	1300	250	2
Socorro	150	1130	450	4
Cocos	47	700	500	3
