failure	sediment	meander	channelwidth	landcover	vegewidth	sinuosity	dredging
1	0	4	1347	4	391.31	1.9484	0
1	1	3	2580.99	2	150.63	2.3318	0
1	1	3	3378.96	4	145.15	1.9238	0
1	1	3	3507.43	2	301.95	2.0305	0
1	1	2	1704.1	2	1027.68	1.5503	0
1	1	1	2822.97	3	399.08	1.3511	81115
1	0	1	1706.72	3	223.2	2.37	81115
1	0	1	1741.13	3	540.61	2.3504	81115
1	1	1	1712.65	3	402.3	2.3354	81115
1	1	1	1825.85	4	61.25	2.1418	81115
1	1	1	3379.02	3	211.66	2.0561	81115
1	1	1	2825.72	3	220.37	2.0685	81115
1	1	3	3977.46	4	369.96	1.822	81115
1	1	1	1975.67	4	1185.66	1.2327	68032
1	0	1	1720.97	3	380.8	1.2179	68032
1	0	4	1592.53	1	0	1.2279	68032
1	0	4	1769.32	3	614.08	1.2323	68032
1	1	4	2504.27	4	651.75	1.2322	68032
1	1	4	2506.59	3	305.86	1.3035	64774
1	1	4	1616.57	3	877.21	1.2643	64774
1	1	2	998.33	4	1837.94	1.4981	0
1	0	1	1439.24	4	5424.06	1.1034	116496
1	0	2	1395.28	4	6177.24	1.1114	116496
1	1	4	3267.66	2	263.78	1.5503	503065
1	0	3	3223.49	4	402.13	2.044	532764
1	0	3	4130.23	2	326.04	1.9058	532764
1	0	3	1421.43	2	243.7	1.0502	643738
1	0	3	1544.79	2	160.92	2.0888	643738
1	0	3	1533.25	2	159.09	2.2068	643738
1	0	3	1523.59	2	253.64	2.165	643738
1	0	2	1025.11	4	2370.48	2.1927	643738
1	0	3	1113.32	4	1525.3	2.3373	643738
1	0	3	1320.7	4	1478.01	2.5348	643738
1	0	3	2128.02	4	600.3	2.9621	643738
1	1	3	1823.48	4	3170.11	1.8901	797491
1	1	3	3910.16	1	0	2.1406	799563
1	1	4	3879	4	1824.66	1.3727	799563
1	1	3	2160.98	1	0	2.2541	799563
1	1	1	2840.03	1	0	1.4381	799563
1	1	4	2806.3	1	0	1.5085	799563
1	1	3	2152.64	4	1407.36	1.3804	769930
0	1	1	1900.81	3	39.6	1.2966	0
0	1	4	2190.2	4	700.49	1.6207	0
0	0	3	2988.24	2	48.69	2.1435	0
0	0	2	712.36	4	968.1	1.618	0
0	0	2	1657.29	2	171.93	1.292	0
0	0	1	1505.87	3	172	1.3392	0
0	1	1	1716.56	2	249.86	1.3224	5025
0	1	3	2448.94	4	1252.41	1.2017	10703
0	1	4	3151.66	3	146.31	1.6198	70146
0	0	2	1796.62	4	2985.32	1.7575	74449
0	0	2	1147.39	4	228.73	2.2033	81115
0	0	2	2014.99	4	156.17	1.883	81115
0	1	2	2402.47	4	2603.15	1.9592	81115
0	0	2	1720.62	4	5047.96	2.1342	81115
0	0	4	1516.7	4	870.19	2.1288	81115
0	1	4	2122.78	2	112.35	1.9666	81115
0	1	2	2923.23	2	64.58	1.5793	81115
0	1	4	1739.32	3	2226.4	1.3748	68032
0	0	4	872.37	4	4588.42	1.5823	68032
0	1	1	2128.33	4	711.95	1.3493	64774
0	0	1	1655.55	4	5284.28	1.1003	116496
0	0	4	928.76	3	5918.36	1.1031	116496
0	0	1	1926.43	4	229.53	1.4779	543009
0	0	4	1625.55	3	435.51	1.3047	543009
0	0	4	2018.11	4	317.25	1.5091	643738
0	0	2	953.8	4	1164.57	2.7805	643738
0	1	3	2004.38	3	639.21	1.7136	742280
0	0	4	2697.63	4	2306.79	1.333	769396
0	1	1	1838.54	4	434.68	1.8141	790825
0	1	3	1458.04	3	385.5	1.6308	799563
0	0	2	2223.85	4	4939.02	1.8268	799563
0	1	1	1760.82	3	2172.59	1.1175	799563
0	1	3	3994.31	3	269.92	1.6887	799563
0	1	2	2942.62	4	4112.95	1.4009	799563
0	1	1	3418.77	3	319.57	1.264	799563
0	1	4	2054.8	4	3724.54	1.4023	780393
0	0	2	864.19	4	5672.69	1.4443	780393
0	0	3	1488.03	3	419.8	1.439	780393
0	0	4	1533.08	3	657.29	1.2977	777135
0	1	4	1421.62	3	512.37	1.3194	777135
0	0	3	1591.07	3	545.84	1.4167	760078
