"Farm","Paddock","Mow","Herbicide","Buttercuppc","BareGrnd"
"Farm B","Dry","Mow","MCPB+bentazone",0.1,110
"Farm B","Dry","Mow","MCPB",0.55,125
"Farm B","Dry","Mow","Flumetsulam",0.05,125
"Farm B","Dry","Mow","MCPB+bentazone",0,188
"Farm B","Dry","Mow","MCPA",0.05,175
"Farm B","Dry","Mow","Nil",1.05,150
"Farm B","Dry","Mow","MCPA",0,188
"Farm B","Dry","Mow","MCPB+bentazone",0,175
"Farm B","Dry","Mow","Nil",0.75,150
"Farm B","Dry","Mow","Thifensulfuron-methyl",0.25,175
"Farm B","Dry","Mow","Aminopyralid+triclopyr",0,200
"Farm B","Dry","Mow","MCPB",0.5,185
"Farm B","Dry","Mow","MCPA",0,200
"Farm B","Dry","Mow","Flumetsulam",0,175
"Farm B","Dry","Mow","Aminopyralid",0,250
"Farm B","Dry","Mow","Aminopyralid",0,250
"Farm B","Dry","Mow","Nil",2.75,150
"Farm B","Dry","Mow","Thifensulfuron-methyl",0.3,163
"Farm B","Dry","Mow","Aminopyralid+triclopyr",0,220
"Farm B","Dry","Mow","Aminopyralid+triclopyr",0,255
"Farm B","Dry","Mow","Aminopyralid",0,235
"Farm B","Dry","Mow","Flumetsulam",0,205
"Farm B","Dry","Mow","MCPB",0,225
"Farm B","Dry","Mow","Thifensulfuron-methyl",0,175
"Farm B","Dry","No Mow","Aminopyralid",0,300
"Farm B","Dry","No Mow","Aminopyralid",0,260
"Farm B","Dry","No Mow","Flumetsulam",0,195
"Farm B","Dry","No Mow","MCPB",0.75,255
"Farm B","Dry","No Mow","MCPB+bentazone",0,270
"Farm B","Dry","No Mow","MCPA",0.01,310
"Farm B","Dry","No Mow","MCPA",0.01,320
"Farm B","Dry","No Mow","Nil",4.75,250
"Farm B","Dry","No Mow","Thifensulfuron-methyl",0.55,200
"Farm B","Dry","No Mow","Aminopyralid",0.05,225
"Farm B","Dry","No Mow","MCPB+bentazone",0,235
"Farm B","Dry","No Mow","Nil",3.5,245
"Farm B","Dry","No Mow","Aminopyralid+triclopyr",0,400
"Farm B","Dry","No Mow","MCPB",2.5,175
"Farm B","Dry","No Mow","MCPB",0.8,200
"Farm B","Dry","No Mow","Aminopyralid+triclopyr",0,525
"Farm B","Dry","No Mow","Thifensulfuron-methyl",1,275
"Farm B","Dry","No Mow","Thifensulfuron-methyl",0.325,300
"Farm B","Dry","No Mow","Aminopyralid+triclopyr",0,300
"Farm B","Dry","No Mow","Flumetsulam",0.05,200
"Farm B","Dry","No Mow","Flumetsulam",0.05,150
"Farm B","Dry","No Mow","MCPA",0.1,180
"Farm B","Dry","No Mow","MCPB+bentazone",0,200
"Farm B","Dry","No Mow","Nil",3,170
"Farm B","Wet","Mow","MCPA",2.5,140
"Farm B","Wet","Mow","Nil",26.25,155
"Farm B","Wet","Mow","Thifensulfuron-methyl",8.5,85
"Farm B","Wet","Mow","Thifensulfuron-methyl",11.25,55
"Farm B","Wet","Mow","Flumetsulam",4,70
"Farm B","Wet","Mow","MCPA",3.5,70
"Farm B","Wet","Mow","Thifensulfuron-methyl",4.5,80
"Farm B","Wet","Mow","MCPB",10,75
"Farm B","Wet","Mow","Aminopyralid+triclopyr",0.005,100
"Farm B","Wet","Mow","MCPB+bentazone",6.25,60
"Farm B","Wet","Mow","Flumetsulam",4,80
"Farm B","Wet","Mow","Aminopyralid",0.5,85
"Farm B","Wet","Mow","MCPB",11,75
"Farm B","Wet","Mow","Nil",17.5,70
"Farm B","Wet","Mow","Nil",17.5,60
"Farm B","Wet","Mow","Aminopyralid",0.175,55
"Farm B","Wet","Mow","Aminopyralid+triclopyr",1.5,95
"Farm B","Wet","Mow","MCPA",5.5,85
"Farm B","Wet","Mow","Aminopyralid+triclopyr",0.055,100
"Farm B","Wet","Mow","Aminopyralid",0.175,120
"Farm B","Wet","Mow","MCPB+bentazone",6.25,85
"Farm B","Wet","Mow","MCPB",13.75,70
"Farm B","Wet","Mow","MCPB+bentazone",7.75,105
"Farm B","Wet","Mow","Flumetsulam",1.75,110
"Farm B","Wet","No Mow","MCPB",27.5,50
"Farm B","Wet","No Mow","Aminopyralid",0.3,150
"Farm B","Wet","No Mow","Flumetsulam",2.25,110
"Farm B","Wet","No Mow","Nil",50,45
"Farm B","Wet","No Mow","MCPA",4.5,105
"Farm B","Wet","No Mow","MCPB+bentazone",10.75,85
"Farm B","Wet","No Mow","MCPA",9,95
"Farm B","Wet","No Mow","Flumetsulam",7.25,135
"Farm B","Wet","No Mow","MCPB+bentazone",17,105
"Farm B","Wet","No Mow","Aminopyralid+triclopyr",1.75,130
"Farm B","Wet","No Mow","Thifensulfuron-methyl",8.75,75
"Farm B","Wet","No Mow","Nil",60,55
"Farm B","Wet","No Mow","Nil",37.5,55
"Farm B","Wet","No Mow","Aminopyralid+triclopyr",0.38,130
"Farm B","Wet","No Mow","MCPB+bentazone",13.75,110
"Farm B","Wet","No Mow","Flumetsulam",5.5,135
"Farm B","Wet","No Mow","Thifensulfuron-methyl",7.5,120
"Farm B","Wet","No Mow","MCPB",57.5,55
"Farm B","Wet","No Mow","Aminopyralid+triclopyr",0.625,125
"Farm B","Wet","No Mow","Aminopyralid",0.05,110
"Farm B","Wet","No Mow","MCPB",16.25,115
"Farm B","Wet","No Mow","MCPA",0.505,130
"Farm B","Wet","No Mow","Aminopyralid",0.055,110
"Farm B","Wet","No Mow","Thifensulfuron-methyl",1.5,120
"Farm H","Dry","Mow","Aminopyralid",0.05,25
"Farm H","Dry","Mow","Aminopyralid+triclopyr",0.1,25
"Farm H","Dry","Mow","MCPB+bentazone",5.5,15
"Farm H","Dry","Mow","Thifensulfuron-methyl",5.75,15
"Farm H","Dry","Mow","Flumetsulam",0.1,18
"Farm H","Dry","Mow","MCPB+bentazone",1,23
"Farm H","Dry","Mow","Aminopyralid",0.055,30
"Farm H","Dry","Mow","Nil",12.5,15
"Farm H","Dry","Mow","Aminopyralid+triclopyr",0.05,40
"Farm H","Dry","Mow","MCPA",0.75,15
"Farm H","Dry","Mow","MCPB",2.25,10
"Farm H","Dry","Mow","MCPA",1,15
"Farm H","Dry","Mow","MCPB+bentazone",0,13
"Farm H","Dry","Mow","Flumetsulam",0.05,13
