Year,CO2,CO2_per_capita,Population
1960,11543.716,4.867069736,2371800
1961,11767.403,4.863166095,2419700
1962,11210.019,4.516526591,2482000
1963,12229.445,4.830336124,2531800
1964,13105.858,5.069180011,2585400
1965,13699.912,5.212262974,2628400
1966,14015.274,5.237592586,2675900
1967,13641.24,5.007613524,2724100
1968,13487.226,4.907836687,2748100
1969,14271.964,5.147130698,2772800
1970,14194.957,5.050328032,2810700
1971,15060.369,5.278783386,2853000
1972,16197.139,5.577719274,2903900
1973,18202.988,6.14695843,2961300
1974,18756.705,6.203229487,3023700
1975,18261.66,5.923148779,3083100
1976,19237.082,6.184562611,3110500
1977,20300.512,6.506157298,3120200
1978,18008.637,5.769779892,3121200
1979,16475.831,5.299398842,3109000
1980,17458.587,5.608463812,3112900
1981,16527.169,5.288863324,3124900
1982,18239.658,5.779176198,3156100
1983,17964.633,5.615176132,3199300
1984,19295.754,5.979286046,3227100
1985,21803.982,6.714909304,3247100
1986,22893.081,7.052053415,3246300
1987,24110.525,7.363341376,3274400
1988,25397.642,7.735165377,3283400
1989,25404.976,7.700344326,3299200
1990,23545.807,7.071237612,3329800
1991,24084.856,6.891034877,3495100
1992,25082.28,7.10204151,3531700
1993,26688.426,7.471145513,3572200
1994,26681.092,7.370467403,3620000
1995,27132.133,7.386109054,3673400
1996,28642.937,7.674956324,3732000
1997,31022.82,8.204273662,3781300
1998,30029.063,7.871314024,3815000
1999,32639.967,8.510851608,3835100
2000,32980.998,8.549394199,3857700
2001,34447.798,8.87715449,3880500
2002,33201.018,8.408514119,3948500
2003,34081.098,8.46272795,4027200
2004,34554.141,8.453612477,4087500
2005,34139.77,8.258489562,4133900
2006,33446.707,7.992808632,4184600
2007,33637.391,7.963774563,4223800
2008,34202.109,8.029041035,4259800
2009,32386.944,7.527296054,4302600
2010,31781.889,7.305005861,4350700
2011,31503.197,7.185948221,4384000
2012,34150.771,7.747276831,4408100
2013,33457.708,7.531957408,4442100
2014,34664.151,7.686575825,4509700
